"[13258396.22,283149.4832]","[13257068.59,283110.5387]","[13257034.36,284432.2172]","[13258365.57,284468.4142]","[13258396.22,283149.4832]",
"[13303368.26,242663.3165]","[13301954.26,242593.2308]","[13301909.87,243912.4188]","[13303322.05,243982.4428]","[13303368.26,242663.3165]",
"[13210463.67,306042.1831]","[13209142.4,305980.276]","[13209146.91,307290.7446]","[13210466.94,307354.4037]","[13210463.67,306042.1831]",
"[13333620.56,240573.9393]","[13332298.91,240530.0916]","[13332252.84,241849.2234]","[13333573.25,241893.0266]","[13333620.56,240573.9393]",
"[13318815.26,312744.4571]","[13318664.45,311607.6884]","[13317393.23,311636.8757]","[13317524.58,312815.18]","[13318815.26,312744.4571]",
"[13258236.36,313203.8644]","[13256907.07,313184.885]","[13256850.44,314519.727]","[13258188.1,314533.4879]","[13258236.36,313203.8644]",
"[13330436.14,219218.1868]","[13329113.7,219188.1732]","[13329063.84,220514.0694]","[13330386.91,220546.0821]","[13330436.14,219218.1868]",
"[13217238.97,295099.1809]","[13217239.44,293778.9537]","[13215903.5,293788.1185]","[13215901.79,295111.3483]","[13217238.97,295099.1809]",
"[13232648.19,220505.0943]","[13231316.57,220461.7661]","[13231279.01,221780.1602]","[13232606.26,221824.2379]","[13232648.19,220505.0943]",
"[13253637.07,329063.5131]","[13252317.84,329022.6775]","[13252269.65,330385.967]","[13253589.09,330418.1114]","[13253637.07,329063.5131]",
"[13317836,288319.2501]","[13316516.95,288269.9118]","[13316456.11,289586.1417]","[13317774.9,289641.148]","[13317836,288319.2501]",
"[13201393.75,265146.4277]","[13200058.36,265100.1672]","[13200028.82,266433.9041]","[13201360.72,266479.3585]","[13201393.75,265146.4277]",
"[13204726.13,243826.8331]","[13203382.22,243782.6831]","[13203332.66,245125.0394]","[13204678.57,245169.1906]","[13204726.13,243826.8331]",
"[13289552.73,258316.4078]","[13288230.97,258271.3817]","[13288197.46,259609.4362]","[13289513.64,259652.8642]","[13289552.73,258316.4078]",
"[13233265.88,279607.5729]","[13231946.89,279560.718]","[13231892.83,280890.3264]","[13233209.68,280939.2998]","[13233265.88,279607.5729]",
"[13310033.52,339328.7085]","[13308629.8,339329.3509]","[13308608.7,339878.4601]","[13308817.12,339889.7297]","[13310010.84,339954.277]","[13310033.52,339328.7085]"
"[13345066.56,219732.3875]","[13343739.35,219686.3267]","[13343689.56,221018.0279]","[13345023.09,221065.9012]","[13345066.56,219732.3875]",
"[13328531.41,317788.6464]","[13327223.57,317718.9183]","[13327155.99,319031.531]","[13328464.23,319096.472]","[13328531.41,317788.6464]",
"[13229109.72,284768.5024]","[13227820.16,284687.758]","[13227768.9,286025.5059]","[13229065.29,286096.7301]","[13229109.72,284768.5024]",
"[13199923.25,281515.517]","[13198586.54,281489.1454]","[13198565.34,282824.1498]","[13199900.56,282852.2734]","[13199923.25,281515.517]",
"[13326879.26,242958.465]","[13325543.15,242903.0872]","[13325493.52,244222.0918]","[13326830.83,244277.5119]","[13326879.26,242958.465]",
"[13252447.85,262187.8536]","[13251057.85,262152.8556]","[13251051.88,262352.5053]","[13251017.82,263492.2538]","[13252411.96,263522.0889]","[13252447.85,262187.8536]"
"[13266441.86,306874.9698]","[13265791.39,306853.2701]","[13265098.35,306844.9801]","[13265047.9,308150.8932]","[13266395.64,308192.6189]","[13266441.86,306874.9698]"
"[13290208.35,331692.3384]","[13288896.72,331640.5236]","[13288854.43,332957.7719]","[13290168.89,333011.4525]","[13290208.35,331692.3384]",
"[13215268.64,210444.6381]","[13213939.74,210405.4627]","[13213896.18,211745.2604]","[13215230.55,211786.9161]","[13215268.64,210444.6381]",
"[13200138.5,224727.8528]","[13198813.91,224692.7377]","[13198768.03,226012.5665]","[13200093.9,226050.2938]","[13200138.5,224727.8528]",
"[13278102.21,237848.3475]","[13276791.64,237799.4417]","[13276752.76,239119.6967]","[13278064.7,239173.3669]","[13278102.21,237848.3475]",
"[13303782.91,273555.7778]","[13302447.93,273491.6296]","[13302417.25,274811.2124]","[13303751.65,274875.3482]","[13303782.91,273555.7778]",
